400,NGC 4462,SBab,SB(r)ab
401,NGC 4487,Sc,SAB(rs)cd
402,NGC 4504,SABc,SA(s)cd
403,NGC 4546,E/S0,SB(s)0^-
404,NGC 4592,Sd,SA(s)dm:
405,NGC 4593,Sb,(R)SB(rs)b
406,NGC 4594,Sa,SA(s)a spin
407,NGC 4602,SABb,SAB(rs)bc
408,NGC 4603,SABc,SA(s)c?
409,NGC 4632,Sc,SAc
410,NGC 4650,S0/a,SB(s)0/a pec
411,NGC 4653,SABc,SAB(rs)cd
412,NGC 4666,SABc,SABc:
413,NGC 4684,S0/a,SB(r)0^+
414,NGC 4691,S0/a,(R)SB(s)0/a pec
415,NGC 4696,E,cD1 pec
416,NGC 4697,E,E6
417,NGC 4699,SABb,SAB(rs)b
418,NGC 4700,SBc,SB(s)c? spin
419,NGC 4705,SABb,SAB(s)bc: spin
420,NGC 4709,E,E1
421,NGC 4727,Sbc,SAB(r)bc pec:
422,NGC 4731,SBc,SB(s)cd
423,NGC 4742,E,E4:
424,NGC 4753,S0,I0
425,NGC 4760,E,E0?
426,NGC 4767,E,E
427,NGC 4775,Scd,SA(s)d
428,NGC 4781,Scd,SB(rs)d
429,NGC 4786,E,cD pec
430,NGC 4802,S0,SA(r)0?
431,NGC 4818,SABa,SAB(rs)ab pec:
432,NGC 4825,E/S0,SA0^-
433,NGC 4835,Sbc,SAB(rs)bc:
434,NGC 4856,S0/a,SB(s)0/a
435,NGC 4899,SABc,SAB(rs)c:
436,NGC 4902,Sb,SB(r)b
437,NGC 4930,Sb,SB(rs)b
438,NGC 4933B,S0/a,S0/a pec
439,NGC 4936,E,E0
440,NGC 4939,Sbc,SA(s)bc
441,NGC 4941,SABa,(R)SAB(r)ab:
442,NGC 4945,SBc,SB(s)cd: spin
443,NGC 4947,Sb,SAB(r)b pec
444,NGC 4951,SABc,SAB(rs)cd:
445,NGC 4958,S0,SB(r)0? spin
446,NGC 4965,SABc,SAB(s)d
447,NGC 4976,E,E4 pec:
448,NGC 4981,Sbc,SAB(r)bc
449,NGC 4984,S0/a,(R)SAB(rs)0^+
450,NGC 4995,SABb,SAB(rs)b
451,NGC 5011,E,E1-2
452,NGC 5018,E,E3:
453,NGC 5026,S0/a,(R')SB(rs)0/a
454,NGC 5042,SABc,SAB(rs)c
455,NGC 5044,E,E0
456,NGC 5054,Sbc,SA(s)bc
457,NGC 5061,E,E0
458,NGC 5068,Sc,SAB(rs)cd
459,NGC 5077,E,E3-4
460,NGC 5078,Sa,SA(s)a: spin
461,NGC 5084,S0,S0 spin
462,NGC 5087,E/S0,SA0:
463,NGC 5090,E,E2
464,NGC 5101,S0/a,(R)SB(rs)0/a
465,NGC 5102,E/S0,SA0^-
466,NGC 5121,Sa,(R')SA(s)a
467,NGC 5128,S0,S0 pec
468,NGC 5134,SABb,SA(s)b?
469,NGC 5135,Sab,SB(s)ab
470,NGC 5156,SBbc,SB(r)b
471,NGC 5161,Sc,SA(s)c:
472,NGC 5170,Sc,SA(s)c: spin
473,NGC 5188,Sb,(R')SAB(s)b pec
474,NGC 5193,E,E pec:
475,NGC 5206,E/S0,(R')SB(rs)0^0^
476,NGC 5236,Sc,SAB(s)c
477,NGC 5247,SABb,SA(s)bc
478,NGC 5253,S?,pec
479,NGC 5254,Sc,SA(rs)c:
480,NGC 5264,SBm,IB(s)m
481,NGC 5266,E/S0,SA0^-
482,NGC 5292,Sab,(R')SA(rs)ab
483,NGC 5324,Sc,SA(rs)c:
484,NGC 5328,E,E1:
485,NGC 5333,S0,SB(r)0^0^?
486,NGC 5334,Sc,SB(rs)c:
487,NGC 5339,Sa,SB(rs)a pec
488,NGC 5408,IB,IB(s)m
489,NGC 5419,E,E
490,NGC 5426,Sc,SA(s)c pec
491,NGC 5427,SABc,SA(s)c pec
492,NGC 5468,SABc,SAB(rs)cd
493,NGC 5483,Sc,SA(s)c
494,NGC 5506,Sab,Sa pec spin
495,NGC 5516,E/S0,SA(s)0^-?
496,NGC 5530,SABb,SA(rs)bc
497,NGC 5556,Scd,SAB(rs)d
498,NGC 5597,Sc,SAB(s)cd
499,NGC 5643,Sc,SAB(rs)c
500,NGC 5688,Sc,SAB(rs)c
501,NGC 5713,SABb,SAB(rs)bc pec
502,NGC 5728,Sa,SAB(r)a:
503,NGC 5786,Sbc,(R')SB(s)bc
504,NGC 5791,E,E6:
505,NGC 5792,Sb,SB(rs)b
506,NGC 5796,E,E0-1
